,MktDate,Instrument,MachineTime,ExchangeTime,Bid,Bid1,Bid2,Bid3,Bid4,Ask,Ask1,Ask2,Ask3,Ask4,BidSize,BidSize1,BidSize2,BidSize3,BidSize4,AskSize,AskSize1,AskSize2,AskSize3,AskSize4,LastPrice,AccVolume,AccTurnOver,Volume,TurnOver,Pred,DATA_SOURCE,AS_OF_DATE
40003,20210125,OI0001,664671230412379831,664671230500000000,9810.0,9809.0,9808.0,9807.0,9806.0,9811.0,9812.0,9813.0,9814.0,9815.0,94,26,22,67,37,12,13,12,18,41,9811.0,116525,11409772680.0,0.0,-355320.0,-0.2162979999993695,EsunnyL2,20210125
40006,20210125,OI0001,664671230662552674,664671230750000000,9810.0,9809.0,9808.0,9807.0,9806.0,9811.0,9812.0,9813.0,9814.0,9815.0,94,26,22,67,37,15,13,12,18,41,9811.0,116525,11409772680.0,0.0,11409772680.0,-0.2064989999998943,EsunnyL2,20210125
40007,20210125,OI0001,664671230912567812,664671231000000000,9811.0,9811.0,9810.0,9809.0,9808.0,9812.0,9814.0,9815.0,9816.0,9817.0,10,29,43,17,12,13,20,43,6,14,9811.0,116540,0.0,15.0,-11409772680.0,0.3160200000002078,EFH_SF,20210125
40008,20210125,OI0001,664671231162938239,664671231250000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,14,94,26,22,64,13,12,18,41,10,9811.0,116541,11411342440.0,0.0,11411342440.0,0.42847299999993993,EsunnyL2,20210125
40010,20210125,OI0001,664671231412969740,664671231500000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,12,94,26,22,64,16,12,18,41,10,9811.0,116542,11411440550.0,0.0,11411440550.0,-0.27764700000079756,EsunnyL2,20210125
40012,20210125,OI0001,664671231913181322,664671232000000000,9811.0,9815.0,9814.0,9813.0,9812.0,9812.0,9818.0,9819.0,9820.0,9821.0,11,8,8,15,21,16,11,7,19,18,9811.0,116543,11411890560.0,1.0,450010.0,-0.31365999999979977,EFH_SF,20210125
40013,20210125,OI0001,664671232163445868,664671232250000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,3,94,26,22,64,16,14,18,41,10,9811.0,116548,11412029210.0,5.0,138650.0,-0.30815999999867927,EsunnyL2,20210125
40014,20210125,OI0001,664671232413610311,664671232500000000,9810.0,9809.0,9808.0,9807.0,9806.0,9812.0,9813.0,9814.0,9815.0,9816.0,94,26,22,64,37,16,14,18,41,10,9811.0,116552,11412421650.0,0.0,11412421650.0,-0.10674000000108208,EsunnyL2,20210125
40017,20210125,OI0001,664671232663663881,664671232750000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,1,93,26,22,67,16,14,18,41,10,9811.0,116552,11412421650.0,0.0,11412421650.0,0.19852399999945192,EsunnyL2,20210125
40018,20210125,OI0001,664671232913774056,664671233000000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,2,93,26,22,64,16,14,18,41,10,9811.0,116552,11412421650.0,0.0,11412421650.0,0.16852599999947415,EsunnyL2,20210125
40020,20210125,OI0001,664671233163901280,664671233250000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,2,93,26,22,64,10,14,18,41,11,9812.0,116558,11413010370.0,0.0,11413010370.0,0.28297399999974004,EsunnyL2,20210125
40023,20210125,OI0001,664671233413997206,664671233500000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,7,93,26,22,64,10,14,18,41,11,9812.0,116558,11413010370.0,0.0,-348990.0,0.2936169999993581,EsunnyL2,20210125
40024,20210125,OI0001,664671233664090906,664671233750000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,33,93,26,23,64,4,14,18,41,11,9812.0,116564,11413599090.0,0.0,-347790.0,0.49318400000083784,EsunnyL2,20210125
40027,20210125,OI0001,664671233914296289,664671234000000000,9812.0,9811.0,9810.0,9809.0,9808.0,9813.0,9814.0,9815.0,9816.0,9817.0,7,34,93,26,23,14,18,41,11,13,9812.0,116568,11413991570.0,0.0,11413991570.0,0.24030800000036834,EsunnyL2,20210125
40028,20210125,OI0001,664671234914661073,664671235000000000,9812.0,9811.0,9810.0,9809.0,9808.0,9813.0,9814.0,9815.0,9816.0,9817.0,7,35,93,26,23,14,18,41,11,13,9812.0,116568,11413991570.0,0.0,0.0,0.27069099999971513,EsunnyL2,20210125
40030,20210125,OI0001,664671236415426228,664671236500000000,9812.0,9811.0,9810.0,9809.0,9808.0,9813.0,9814.0,9815.0,9816.0,9817.0,2,35,94,26,23,14,18,41,11,13,9812.0,116573,11414482170.0,0.0,11414482170.0,-0.016370999999708147,EsunnyL2,20210125
